2025-12-18 08:48:15 | INFO     | DF | Loading model settings of DeepFilterNet2
2025-12-18 08:48:15 | INFO     | DF | Initializing model `deepfilternet2`
2025-12-18 08:48:15 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2025-12-18 08:48:17 | INFO     | DF | Running on torch 2.9.1
2025-12-18 08:48:17 | INFO     | DF | Running on host Rakibuls-MacBook-Air.local
2025-12-18 08:48:17 | INFO     | DF | Loading model settings of DeepFilterNet2
2025-12-18 08:48:17 | INFO     | DF | Initializing model `deepfilternet2`
2025-12-18 08:48:17 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2025-12-18 08:48:17 | INFO     | DF | Running on device cpu
2025-12-18 08:48:17 | INFO     | DF | Model loaded
2025-12-18 09:18:07 | INFO     | DF | Running on torch 2.9.1
2025-12-18 09:18:07 | INFO     | DF | Running on host Rakibuls-MacBook-Air.local
2025-12-18 09:18:07 | INFO     | DF | Loading model settings of DeepFilterNet2
2025-12-18 09:18:07 | INFO     | DF | Initializing model `deepfilternet2`
2025-12-18 09:18:07 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2025-12-18 09:18:07 | INFO     | DF | Running on device cpu
2025-12-18 09:18:07 | INFO     | DF | Model loaded
2025-12-18 09:19:54 | INFO     | DF | Running on torch 2.9.1
2025-12-18 09:19:54 | INFO     | DF | Running on host Rakibuls-MacBook-Air.local
2025-12-18 09:19:54 | INFO     | DF | Loading model settings of DeepFilterNet2
2025-12-18 09:19:54 | INFO     | DF | Initializing model `deepfilternet2`
2025-12-18 09:19:54 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2025-12-18 09:19:54 | INFO     | DF | Running on device cpu
2025-12-18 09:19:54 | INFO     | DF | Model loaded
2025-12-18 09:22:00 | INFO     | DF | Running on torch 2.9.1
2025-12-18 09:22:00 | INFO     | DF | Running on host Rakibuls-MacBook-Air.local
2025-12-18 09:22:00 | INFO     | DF | Loading model settings of DeepFilterNet2
2025-12-18 09:22:00 | INFO     | DF | Initializing model `deepfilternet2`
2025-12-18 09:22:00 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2025-12-18 09:22:00 | INFO     | DF | Running on device cpu
2025-12-18 09:22:00 | INFO     | DF | Model loaded
2025-12-18 09:22:01 | INFO     | DF | Running on torch 2.9.1
2025-12-18 09:22:01 | INFO     | DF | Running on host Rakibuls-MacBook-Air.local
2025-12-18 09:22:01 | INFO     | DF | Loading model settings of DeepFilterNet2
2025-12-18 09:22:01 | INFO     | DF | Initializing model `deepfilternet2`
2025-12-18 09:22:01 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2025-12-18 09:22:01 | INFO     | DF | Running on device cpu
2025-12-18 09:22:01 | INFO     | DF | Model loaded
2025-12-18 09:22:02 | INFO     | DF | Running on torch 2.9.1
2025-12-18 09:22:02 | INFO     | DF | Running on host Rakibuls-MacBook-Air.local
2025-12-18 09:22:02 | INFO     | DF | Loading model settings of DeepFilterNet2
2025-12-18 09:22:02 | INFO     | DF | Initializing model `deepfilternet2`
2025-12-18 09:22:02 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2025-12-18 09:22:02 | INFO     | DF | Running on device cpu
2025-12-18 09:22:02 | INFO     | DF | Model loaded
2025-12-18 09:22:39 | INFO     | DF | Running on torch 2.9.1
2025-12-18 09:22:39 | INFO     | DF | Running on host Rakibuls-MacBook-Air.local
2025-12-18 09:22:39 | INFO     | DF | Loading model settings of DeepFilterNet2
2025-12-18 09:22:39 | INFO     | DF | Initializing model `deepfilternet2`
2025-12-18 09:22:39 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2025-12-18 09:22:39 | INFO     | DF | Running on device cpu
2025-12-18 09:22:39 | INFO     | DF | Model loaded
2025-12-18 09:24:29 | INFO     | DF | Running on torch 2.9.1
2025-12-18 09:24:29 | INFO     | DF | Running on host Rakibuls-MacBook-Air.local
2025-12-18 09:24:29 | INFO     | DF | Loading model settings of DeepFilterNet2
2025-12-18 09:24:29 | INFO     | DF | Initializing model `deepfilternet2`
2025-12-18 09:24:29 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2025-12-18 09:24:29 | INFO     | DF | Running on device cpu
2025-12-18 09:24:29 | INFO     | DF | Model loaded
2025-12-18 09:24:32 | INFO     | DF | Running on torch 2.9.1
